Author of commit,Number of commits,month
peter.norvig,1,June-2007
spottedMetal,18,July-2007
srburnet,1,May-2010
withal,13,August-2011
norvig,3,February-2016
greyshadows,1,March-2016
abhishek garg,2,March-2016
utk1610,1,March-2016
SnShine,33,March-2016
Tamer Tas,5,March-2016
Nishant Suman,2,March-2016
MircoT,16,March-2016
jeff3456,8,March-2016
Yu Ting,3,March-2016
Tarun Kumar,18,March-2016
Chipe1,25,March-2016
Chirag Vartak,36,March-2016
Sidharth Sindhra,8,March-2016
Peter Norvig,21,March-2016
Toluwanimi Salako,2,March-2016
Larry He,12,March-2016
tolusalako,5,March-2016
Varshit,2,March-2016
Stuart Russell,1,March-2016
chiragvartak,1,March-2016
Mort Yao,1,March-2016
Surya Teja Cheedella,1,March-2016
Utkarsh Agrawal,1,March-2016
Lucas Moura,2,March-2016
Tarun Kumar Vangani,10,April-2016
Darius Bacon,23,April-2016
C.G.Vedant,5,April-2016
Jonathon Belotti,1,May-2016
reachtarunhere,1,May-2016
go-bears,1,May-2016
Rahul Patel,1,August-2016
opensourceware,2,September-2016
Senthil Kumaran,1,January-2017
Rishabh Agarwal,1,February-2017
Yagnesh,1,March-2017
Agnishom Chattopadhyay,1,March-2017
Antonis Maronikolakis,20,March-2017
Vladimir,1,March-2017
Kaivalya Rawal,9,March-2017
lucasmoura,12,March-2017
ESHAN PANDEY,2,March-2017
articuno12,4,March-2017
Manpreet Kaur,1,March-2017
Chinmaya Pancholi,1,March-2017
Aditya Harsh,1,March-2017
Angira Sharma,2,March-2017
Jacob Kalakal Joseph,1,March-2017
Sampad Kumar Saha,2,March-2017
Zulfikar,1,March-2017
VladKha,1,March-2017
Vidur Satija,1,March-2017
Pranjal Bhansali,1,March-2017
sofmonk,1,March-2017
Edward Gonsalves,1,March-2017
Luke Schoen,3,April-2017
Azizur Rahman,1,April-2017
Christopher Chen,1,April-2017
Allen,1,May-2017
Anthony Marakis,11,June-2017
Luis Martí,1,August-2017
Vishnu Dutt Sharma,1,August-2017
Aareon Sullivan,1,September-2017
Nick Lee,1,December-2017
Apurv Bajaj,2,December-2017
Justin Russell,1,December-2017
Jonathan Guillotte-Blouin,1,December-2017
surya saini,2,December-2017
Pranjal Aswani,1,December-2017
Rishav1,1,January-2018
AdityaDaflapurkar,2,January-2018
Sagar Gupta,2,January-2018
Aman Deep Singh,6,February-2018
Vinay Varma,3,February-2018
